geometry,geometry_vertex_count,GMDE,BEZIRK,KT,Gemeinde,import_notes
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.57315331753,47.5757586361,0 8.58000449524,47.5914427841,0 8.5940218653,47.5970072302,0 8.62030016296,47.5999449592,0 8.64115185139,47.5927769832,0 8.6427642598,47.5888201225,0 8.6316110784,47.5871902174,0 8.62232346744,47.581537121,0 8.62105279415,47.5734359266,0 8.61413391051,47.5695481527,0 8.6022256502,47.573266576,0 8.57315331753,47.5757586361,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,28,102,1,Flaach,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.6250986691,47.6777433816,0 8.62848296625,47.6813519064,0 8.62621491155,47.6930780914,0 8.63341083288,47.6937239568,0 8.64217930492,47.6861672981,0 8.66132495361,47.6793377502,0 8.6250986691,47.6777433816,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,29,102,1,Flurlingen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.6427642598,47.5888201225,0 8.64115185139,47.5927769832,0 8.65173267726,47.5902469397,0 8.65344466989,47.5976505073,0 8.66587372021,47.6088902745,0 8.6826952279,47.5984199586,0 8.69880854083,47.5987227919,0 8.70091287792,47.5977283623,0 8.70077669629,47.5942394658,0 8.71535922507,47.5895549363,0 8.70934581281,47.5838816203,0 8.70501985451,47.5831283133,0 8.69944711293,47.5897740033,0 8.69198544871,47.591393171,0 8.67684112984,47.584647071,0 8.66657154086,47.5884625383,0 8.66003862154,47.587712912,0 8.65027823708,47.5876983543,0 8.6427642598,47.5888201225,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",19,30,102,1,Andelfingen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.70003386212,47.5685823369,0 8.69915420946,47.5640039883,0 8.69310760674,47.5640425976,0 8.68862573459,47.5537636988,0 8.66855958149,47.5635050334,0 8.66854925395,47.5642068207,0 8.67766684002,47.5716032818,0 8.69603303571,47.5713965387,0 8.70003386212,47.5685823369,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,31,102,1,Henggart,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.66003862154,47.587712912,0 8.66657154086,47.5884625383,0 8.67684112984,47.584647071,0 8.68751539128,47.5777497333,0 8.70390908319,47.57334392,0 8.70003386212,47.5685823369,0 8.69603303571,47.5713965387,0 8.67766684002,47.5716032818,0 8.66854925395,47.5642068207,0 8.66447067625,47.570043352,0 8.66596820644,47.5767473945,0 8.65912130766,47.5819382813,0 8.66003862154,47.587712912,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,32,102,1,Humlikon,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.66818992574,47.6307702337,0 8.68274915814,47.6313527259,0 8.68963943028,47.6283910473,0 8.69023661565,47.6176077479,0 8.70487777124,47.6128430627,0 8.69880854083,47.5987227919,0 8.6826952279,47.5984199586,0 8.66587372021,47.6088902745,0 8.65344466989,47.5976505073,0 8.65173267726,47.5902469397,0 8.64115185139,47.5927769832,0 8.62030016296,47.5999449592,0 8.64058982104,47.6008429657,0 8.64360989861,47.6067397943,0 8.6655695855,47.6129955336,0 8.66818992574,47.6307702337,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",16,33,102,1,Kleinandelfingen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.6250986691,47.6777433816,0 8.66132495361,47.6793377502,0 8.6693106727,47.6790645214,0 8.67812529801,47.6732316757,0 8.6785974306,47.6672266218,0 8.67139746398,47.6679959217,0 8.65761910571,47.6682133109,0 8.63491647053,47.6612799719,0 8.62856851017,47.6632162448,0 8.62352725606,47.6729918529,0 8.61280388726,47.6747019218,0 8.60990537483,47.668299472,0 8.61568651736,47.6629697081,0 8.60994907269,47.6648537863,0 8.60745825916,47.6702581348,0 8.61470457725,47.6799270055,0 8.62004924532,47.6764905095,0 8.6250986691,47.6777433816,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",18,34,102,1,Laufen-Uhwiesen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.60453202753,47.6123115666,0 8.6089614889,47.6038470739,0 8.62154268436,47.6067599978,0 8.62262022237,47.6186862015,0 8.6310774136,47.6261739038,0 8.62139786543,47.6312924818,0 8.64237702119,47.6397575378,0 8.63911331333,47.6449277954,0 8.64583438203,47.6419525365,0 8.64684277159,47.6459000927,0 8.6544362474,47.6449932281,0 8.65783627987,47.6417641401,0 8.66818992574,47.6307702337,0 8.6655695855,47.6129955336,0 8.64360989861,47.6067397943,0 8.64058982104,47.6008429657,0 8.62030016296,47.5999449592,0 8.5940218653,47.5970072302,0 8.59680651612,47.606991583,0 8.60453202753,47.6123115666,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",20,35,102,1,Marthalen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.82652041685,47.6385384627,0 8.81436964061,47.6288505902,0 8.81545464514,47.6224596018,0 8.80583524848,47.6147558683,0 8.80508906741,47.6095469999,0 8.80403009677,47.6025156141,0 8.78998888276,47.6047941025,0 8.78901468289,47.610940684,0 8.79107790074,47.6162062574,0 8.78104295808,47.6297446519,0 8.79026101745,47.6316617287,0 8.80188216776,47.6447137462,0 8.815862399,47.6509717708,0 8.82759725164,47.6481422009,0 8.82652041685,47.6385384627,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",15,36,102,1,Oberstammheim,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.69880854083,47.5987227919,0 8.70487777124,47.6128430627,0 8.69023661565,47.6176077479,0 8.68963943028,47.6283910473,0 8.70533656403,47.6359570875,0 8.7137925774,47.6355946264,0 8.71243489794,47.6311566552,0 8.72492700175,47.6238492577,0 8.74571817846,47.6289784289,0 8.75465187559,47.6280768389,0 8.75588103065,47.6250582899,0 8.75069975605,47.6227061088,0 8.7472036658,47.6228445408,0 8.74697783153,47.6142290819,0 8.74139445723,47.61332036,0 8.74085615443,47.6098180247,0 8.74934515133,47.5937367254,0 8.74014142375,47.589360415,0 8.73375408041,47.5978970571,0 8.72740085624,47.5975180313,0 8.71866648793,47.5965622396,0 8.72618554249,47.6005991162,0 8.71992827216,47.6064077451,0 8.704978731,47.5970093559,0 8.70091287792,47.5977283623,0 8.69880854083,47.5987227919,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",26,37,102,1,Ossingen,
