geometry,geometry_vertex_count,GMDE,BEZIRK,KT,Gemeinde,import_notes
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.96237867725,46.7926671212,0 8.97473037247,46.7856630464,0 8.98294249349,46.7860651927,0 8.99233433314,46.7864866996,0 8.99717369922,46.7798790291,0 9.02018735305,46.7691425527,0 9.03037813911,46.7514721258,0 9.03537020742,46.7480729919,0 9.02696138172,46.7417025143,0 9.03264789558,46.7352523623,0 9.01377172839,46.7257243174,0 9.01844447753,46.6944893147,0 9.01131702372,46.6841677316,0 9.00125928981,46.6903979461,0 8.98187982937,46.6895011551,0 8.97835828665,46.6930311172,0 8.96618402602,46.6953724698,0 8.96764845206,46.7105959091,0 8.97283946112,46.7132706673,0 8.95946482673,46.7502435357,0 8.96076481973,46.7568758783,0 8.94900316287,46.7712132271,0 8.93517611991,46.7807443508,0 8.92945126292,46.7977626456,0 8.95896075301,46.8057239904,0 8.96237867725,46.7926671212,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",26,3987,1831,18,Trun,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.09229915863,47.4056132529,0 8.08871408925,47.3995704477,0 8.07219011975,47.3993563089,0 8.06565902323,47.396027566,0 8.06593529257,47.3902329186,0 8.05946338826,47.3827565357,0 8.06484862238,47.3811712517,0 8.068498084,47.3739369393,0 8.05587149322,47.3710904729,0 8.05766563719,47.3739324903,0 8.04010769216,47.3787748591,0 8.02848951259,47.3724748404,0 8.03222619476,47.3845907547,0 8.02846915822,47.3945860467,0 8.02760814524,47.396992242,0 8.03699117243,47.4031869719,0 8.04450280411,47.4019334708,0 8.06825077712,47.4101994614,0 8.07152722069,47.411593878,0 8.10505479452,47.4137264151,0 8.1050438205,47.4096694819,0 8.11452702364,47.4061511528,0 8.09229915863,47.4056132529,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",23,4001,1901,19,Aarau,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.06886184708,47.4304989747,0 8.09947878635,47.4246789821,0 8.10505479452,47.4137264151,0 8.07152722069,47.411593878,0 8.06886184708,47.4304989747,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",5,4002,1901,19,Biberstein,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.11452702364,47.4061511528,0 8.11743754839,47.401627314,0 8.08800237038,47.3944379689,0 8.09262296857,47.3909666124,0 8.10335828586,47.3924616302,0 8.10601371945,47.3897656391,0 8.07807790891,47.3821243321,0 8.06593529257,47.3902329186,0 8.06565902323,47.396027566,0 8.07219011975,47.3993563089,0 8.08871408925,47.3995704477,0 8.09229915863,47.4056132529,0 8.11452702364,47.4061511528,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,4003,1901,19,Buchs AG,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.03122196501,47.4372555169,0 8.03381122983,47.4435390176,0 8.03086914365,47.4532241462,0 8.02998688488,47.4633484296,0 8.04490881995,47.4667614565,0 8.07521251273,47.4671745294,0 8.08156237924,47.4668066165,0 8.09346179965,47.4581853059,0 8.08638747001,47.4566958862,0 8.08595780034,47.449717844,0 8.07123246132,47.4425849252,0 8.06813698197,47.43310261,0 8.04144794152,47.4387679099,0 8.03122196501,47.4372555169,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,4004,1901,19,Densbüren,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.98831098811,47.4301180229,0 8.01637292519,47.4323831152,0 8.01638213685,47.4246739861,0 8.02416691478,47.4238342604,0 8.03213125577,47.4046243074,0 8.03699117243,47.4031869719,0 8.02760814524,47.396992242,0 8.01149299913,47.3964974744,0 8.00830329423,47.407946507,0 7.96424058678,47.4237261665,0 7.98374658235,47.4297078318,0 7.98649963839,47.424135669,0 7.98831098811,47.4301180229,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,4005,1901,19,Erlinsbach AG,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.07204428837,47.3447086168,0 8.07221690913,47.3503299845,0 8.08792979799,47.3678113219,0 8.1153166953,47.3796364417,0 8.12455087539,47.3736988416,0 8.12669022865,47.3609212237,0 8.13776031006,47.3580391061,0 8.13709331606,47.3485526239,0 8.14400960335,47.3360604286,0 8.11258325131,47.3352135825,0 8.1108289233,47.3398656217,0 8.10745344996,47.3398042551,0 8.08707156651,47.3320671889,0 8.07204428837,47.3447086168,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,4006,1901,19,GrA$?nichen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.04435252403,47.3199030065,0 8.04533365326,47.3259160081,0 8.05464176678,47.3265234231,0 8.0661948125,47.32224221,0 8.08653022872,47.3234432854,0 8.08864570101,47.3189874776,0 8.08323029645,47.3109216192,0 8.04435252403,47.3199030065,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,4007,1901,19,Hirschthal,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.03699117243,47.4031869719,0 8.03213125577,47.4046243074,0 8.02416691478,47.4238342604,0 8.01638213685,47.4246739861,0 8.01637292519,47.4323831152,0 8.02060325759,47.4325058464,0 8.02452642698,47.4372446277,0 8.03122196501,47.4372555169,0 8.04144794152,47.4387679099,0 8.06813698197,47.43310261,0 8.06886184708,47.4304989747,0 8.07152722069,47.411593878,0 8.06825077712,47.4101994614,0 8.04450280411,47.4019334708,0 8.03699117243,47.4031869719,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",15,4008,1901,19,Küttigen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.07204428837,47.3447086168,0 8.08707156651,47.3320671889,0 8.08653022872,47.3234432854,0 8.0661948125,47.32224221,0 8.05464176678,47.3265234231,0 8.04533365326,47.3259160081,0 8.04322752904,47.3315403861,0 8.04218319762,47.3409913387,0 8.04676779314,47.3461218259,0 8.0516639287,47.3483358756,0 8.07204428837,47.3447086168,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,4009,1901,19,Muhen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.02021052011,47.3649424937,0 8.02406409374,47.3662094118,0 8.03601496763,47.3669128895,0 8.04767576067,47.3618954365,0 8.05972769984,47.3622360973,0 8.07221690913,47.3503299845,0 8.07204428837,47.3447086168,0 8.0516639287,47.3483358756,0 8.04676779314,47.3461218259,0 8.03022455901,47.3510114026,0 8.01285971007,47.3511799618,0 8.01151992074,47.358311151,0 8.02021052011,47.3649424937,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,4010,1901,19,Oberentfelden,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.05587149322,47.3710904729,0 8.068498084,47.3739369393,0 8.06484862238,47.3811712517,0 8.05946338826,47.3827565357,0 8.06593529257,47.3902329186,0 8.07807790891,47.3821243321,0 8.10601371945,47.3897656391,0 8.10335828586,47.3924616302,0 8.09262296857,47.3909666124,0 8.08800237038,47.3944379689,0 8.11743754839,47.401627314,0 8.11695864681,47.3931472645,0 8.10865501419,47.3901821516,0 8.1153166953,47.3796364417,0 8.08792979799,47.3678113219,0 8.07221690913,47.3503299845,0 8.05972769984,47.3622360973,0 8.05587149322,47.3710904729,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",18,4012,1901,19,Suhr,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.02406409374,47.3662094118,0 8.02618798376,47.3691042161,0 8.02848951259,47.3724748404,0 8.04010769216,47.3787748591,0 8.05766563719,47.3739324903,0 8.05587149322,47.3710904729,0 8.05972769984,47.3622360973,0 8.04767576067,47.3618954365,0 8.03601496763,47.3669128895,0 8.02406409374,47.3662094118,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,4013,1901,19,Unterentfelden,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.28176312303,47.4487537796,0 8.27235051989,47.4599585571,0 8.27106625753,47.4694401516,0 8.26822519328,47.4812267258,0 8.27169646507,47.485969431,0 8.29592282635,47.4864132865,0 8.31174377528,47.4832995391,0 8.31583803804,47.4821171556,0 8.3112017491,47.4753335328,0 8.31507706237,47.4753942128,0 8.32049056037,47.4745974675,0 8.30960550754,47.4669796344,0 8.31190204804,47.4614120223,0 8.30549403629,47.4556400161,0 8.31309583631,47.4509140669,0 8.30899392115,47.4466180737,0 8.29979270096,47.4491967174,0 8.28176312303,47.4487537796,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",18,4021,1902,19,Baden,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.35306295074,47.3765063964,0 8.3479697085,47.3799380601,0 8.33386054336,47.4002169931,0 8.34286528176,47.4053914854,0 8.3568807437,47.4051640602,0 8.3592276767,47.4052533442,0 8.36552622022,47.3841795793,0 8.35306295074,47.3765063964,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,4022,1902,19,Bellikon,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.40145126373,47.3718761549,0 8.39039405481,47.3800551794,0 8.36778772748,47.3794205535,0 8.36552622022,47.3841795793,0 8.3592276767,47.4052533442,0 8.36344159096,47.4037353895,0 8.36729035388,47.4002860961,0 8.37975172474,47.4014177452,0 8.39766177506,47.3953152197,0 8.39603366209,47.382122642,0 8.40061540705,47.376192208,0 8.40145126373,47.3718761549,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,4023,1902,19,Bergdietikon,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.25321649569,47.4317676105,0 8.24909656231,47.4328400456,0 8.24995331565,47.4403454005,0 8.25868508655,47.4502779784,0 8.24763502419,47.4596841826,0 8.22809007869,47.4619061171,0 8.23393058978,47.4666157791,0 8.23423344158,47.4726766824,0 8.24647494284,47.4732665701,0 8.26193262848,47.4681831273,0 8.27106625753,47.4694401516,0 8.27235051989,47.4599585571,0 8.28176312303,47.4487537796,0 8.2739389898,47.4436920075,0 8.27651925608,47.4391305417,0 8.26995801641,47.4350128845,0 8.26530034042,47.433894818,0 8.26099407616,47.4366332052,0 8.25461221267,47.4320096518,0 8.25321649569,47.4317676105,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",20,4024,1902,19,Birmenstorf AG,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.32566486834,47.4881143053,0 8.32762367536,47.4877934325,0 8.34263360646,47.4799859607,0 8.31507706237,47.4753942128,0 8.3112017491,47.4753335328,0 8.31583803804,47.4821171556,0 8.31174377528,47.4832995391,0 8.31379457054,47.4869632456,0 8.32566486834,47.4881143053,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,4026,1902,19,Ennetbaden,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.29079182758,47.4262343985,0 8.27629047941,47.4304873517,0 8.27678783613,47.4351345177,0 8.26995801641,47.4350128845,0 8.27651925608,47.4391305417,0 8.2739389898,47.4436920075,0 8.28176312303,47.4487537796,0 8.29979270096,47.4491967174,0 8.30899392115,47.4466180737,0 8.31532495833,47.4429270159,0 8.30793411038,47.4369376757,0 8.29079182758,47.4262343985,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,4027,1902,19,Fislisbach,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.32762367536,47.4877934325,0 8.32566486834,47.4881143053,0 8.32374280136,47.4946328107,0 8.31693736165,47.4956561465,0 8.29396850497,47.5109584933,0 8.32033531487,47.5076663486,0 8.33852827022,47.5094964546,0 8.32762367536,47.4877934325,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,4028,1902,19,Freienwil,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.24824417238,47.4953741398,0 8.25639445654,47.4841894548,0 8.26822519328,47.4812267258,0 8.27106625753,47.4694401516,0 8.26193262848,47.4681831273,0 8.24647494284,47.4732665701,0 8.23423344158,47.4726766824,0 8.23313089134,47.48147286,0 8.24141579533,47.4888190005,0 8.2381594913,47.4937980299,0 8.23557692941,47.5074619025,0 8.24390973972,47.5018990731,0 8.24352305802,47.4965224835,0 8.24824417238,47.4953741398,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,4029,1902,19,Gebenstorf,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.33014480894,47.4291672186,0 8.3472726201,47.4384974734,0 8.36094062446,47.4345481014,0 8.34976604145,47.422267457,0 8.34238662227,47.4193567505,0 8.33014480894,47.4291672186,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,4030,1902,19,Killwangen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.30889872491,47.3856274564,0 8.31961168361,47.3918613797,0 8.32361171519,47.4013934044,0 8.33386054336,47.4002169931,0 8.3479697085,47.3799380601,0 8.34428583368,47.3782667641,0 8.33201211318,47.382428464,0 8.32903486519,47.3786371831,0 8.31703750427,47.3763361054,0 8.30705582057,47.3798299921,0 8.30889872491,47.3856274564,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,4031,1902,19,Künten,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.23845600553,47.425240817,0 8.23866439504,47.4188164672,0 8.25106199349,47.4078542242,0 8.23463336565,47.4036145688,0 8.22243598393,47.4085285917,0 8.217362286,47.4140772227,0 8.23608117574,47.427758007,0 8.23845600553,47.425240817,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,4032,1902,19,MA$?genwil,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.25461221267,47.4320096518,0 8.26099407616,47.4366332052,0 8.26530034042,47.433894818,0 8.26995801641,47.4350128845,0 8.27678783613,47.4351345177,0 8.27629047941,47.4304873517,0 8.29079182758,47.4262343985,0 8.29038353966,47.4147948291,0 8.28440159515,47.4119870855,0 8.26826660996,47.4089914563,0 8.26197272161,47.4210367337,0 8.26265050606,47.4297217419,0 8.25461221267,47.4320096518,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,4033,1902,19,Mellingen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.33014480894,47.4291672186,0 8.31532495833,47.4429270159,0 8.30899392115,47.4466180737,0 8.31309583631,47.4509140669,0 8.30549403629,47.4556400161,0 8.31190204804,47.4614120223,0 8.3280512887,47.4585993302,0 8.33777843145,47.4463079927,0 8.3472726201,47.4384974734,0 8.33014480894,47.4291672186,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,4034,1902,19,Neuenhof,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.29079182758,47.4262343985,0 8.30793411038,47.4369376757,0 8.31657365768,47.4141131663,0 8.30697352416,47.4121796027,0 8.29788895952,47.4150541508,0 8.29390964545,47.4090654861,0 8.29038353966,47.4147948291,0 8.29079182758,47.4262343985,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,4035,1902,19,Niederrohrdorf,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.31657365768,47.4141131663,0 8.30793411038,47.4369376757,0 8.31532495833,47.4429270159,0 8.33014480894,47.4291672186,0 8.34238662227,47.4193567505,0 8.34222314468,47.4183145144,0 8.31657365768,47.4141131663,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,4037,1902,19,Oberrohrdorf,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.29003732272,47.5125436685,0 8.29396850497,47.5109584933,0 8.31693736165,47.4956561465,0 8.32374280136,47.4946328107,0 8.32566486834,47.4881143053,0 8.31379457054,47.4869632456,0 8.31174377528,47.4832995391,0 8.29592282635,47.4864132865,0 8.27169646507,47.485969431,0 8.26635351665,47.4897138977,0 8.27250881888,47.4946172629,0 8.27031746746,47.4970797939,0 8.28105088908,47.5152090493,0 8.28331220365,47.5162990237,0 8.29003732272,47.5125436685,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",15,4038,1902,19,Obersiggenthal,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.32361171519,47.4013934044,0 8.30697352416,47.4121796027,0 8.31657365768,47.4141131663,0 8.34222314468,47.4183145144,0 8.3568807437,47.4051640602,0 8.34286528176,47.4053914854,0 8.33386054336,47.4002169931,0 8.32361171519,47.4013934044,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,4039,1902,19,Remetschwil,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.3592276767,47.4052533442,0 8.3568807437,47.4051640602,0 8.34222314468,47.4183145144,0 8.34238662227,47.4193567505,0 8.34976604145,47.422267457,0 8.36094062446,47.4345481014,0 8.37258545183,47.4362987968,0 8.37577385977,47.4336462324,0 8.38871631038,47.4293395856,0 8.39324237824,47.4222495626,0 8.38256706768,47.4100038635,0 8.36344159096,47.4037353895,0 8.3592276767,47.4052533442,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,4040,1902,19,Spreitenbach,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.30889872491,47.3856274564,0 8.30807035871,47.3949353942,0 8.29588499769,47.4008826814,0 8.28440159515,47.4119870855,0 8.29038353966,47.4147948291,0 8.29390964545,47.4090654861,0 8.29788895952,47.4150541508,0 8.30697352416,47.4121796027,0 8.32361171519,47.4013934044,0 8.31961168361,47.3918613797,0 8.30889872491,47.3856274564,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,4041,1902,19,Stetten AG,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.26635351665,47.4897138977,0 8.27169646507,47.485969431,0 8.26822519328,47.4812267258,0 8.25639445654,47.4841894548,0 8.24824417238,47.4953741398,0 8.25213738102,47.4965162691,0 8.26635351665,47.4897138977,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,4042,1902,19,Turgi,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.26635351665,47.4897138977,0 8.25213738102,47.4965162691,0 8.24824417238,47.4953741398,0 8.24352305802,47.4965224835,0 8.24390973972,47.5018990731,0 8.23557692941,47.5074619025,0 8.23569775652,47.5093231209,0 8.23436947418,47.5199288201,0 8.26808918031,47.5201690955,0 8.28105088908,47.5152090493,0 8.27031746746,47.4970797939,0 8.27250881888,47.4946172629,0 8.26635351665,47.4897138977,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,4044,1902,19,Untersiggenthal,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.34263360646,47.4799859607,0 8.36424977775,47.4822889465,0 8.37434497481,47.4828554777,0 8.37467961816,47.4762319576,0 8.36678047148,47.4676147293,0 8.3560490331,47.4630585169,0 8.33777843145,47.4463079927,0 8.3280512887,47.4585993302,0 8.31190204804,47.4614120223,0 8.30960550754,47.4669796344,0 8.32049056037,47.4745974675,0 8.31507706237,47.4753942128,0 8.34263360646,47.4799859607,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,4045,1902,19,Wettingen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.25321649569,47.4317676105,0 8.25461221267,47.4320096518,0 8.26265050606,47.4297217419,0 8.26197272161,47.4210367337,0 8.26826660996,47.4089914563,0 8.26417323801,47.4030925591,0 8.25106199349,47.4078542242,0 8.23866439504,47.4188164672,0 8.23845600553,47.425240817,0 8.25321649569,47.4317676105,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,4046,1902,19,Wohlenschwil,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.23436947418,47.5199288201,0 8.22637138585,47.5366878101,0 8.23002511368,47.54298662,0 8.23144525002,47.5464580935,0 8.26376100368,47.5493179788,0 8.2650151084,47.5462326465,0 8.26771941011,47.5390350558,0 8.27206518082,47.5349199941,0 8.26777982305,47.5267289566,0 8.28331220365,47.5162990237,0 8.28105088908,47.5152090493,0 8.26808918031,47.5201690955,0 8.23436947418,47.5199288201,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,4047,1902,19,Würenlingen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.3472726201,47.4384974734,0 8.33777843145,47.4463079927,0 8.3560490331,47.4630585169,0 8.36678047148,47.4676147293,0 8.38402160525,47.4576158501,0 8.38793469305,47.4509359418,0 8.38212231843,47.447745009,0 8.38500903358,47.436314759,0 8.37577385977,47.4336462324,0 8.37258545183,47.4362987968,0 8.36094062446,47.4345481014,0 8.3472726201,47.4384974734,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,4048,1902,19,Würenlos,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.3454731446,47.5134543,0 8.36230113256,47.5114502635,0 8.35875952172,47.5039761498,0 8.36424977775,47.4822889465,0 8.34263360646,47.4799859607,0 8.32762367536,47.4877934325,0 8.33852827022,47.5094964546,0 8.3454731446,47.5134543,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,4049,1902,19,Ehrendingen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.43391897512,47.3277268812,0 8.43158325113,47.3209548768,0 8.4330392398,47.3167321165,0 8.43733577297,47.316578061,0 8.42962683689,47.3025204502,0 8.41822475211,47.3125136639,0 8.41119674223,47.3239082943,0 8.40973679207,47.3301999003,0 8.4137012575,47.3299145868,0 8.41738403613,47.325817154,0 8.43391897512,47.3277268812,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,4061,1903,19,Arni AG,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.36732863872,47.3659932618,0 8.37515802589,47.3616929312,0 8.39680500995,47.3601929613,0 8.40620724126,47.3654132492,0 8.41039941816,47.3564089828,0 8.40790598086,47.353245327,0 8.3764361253,47.3425210007,0 8.35945477224,47.3616572617,0 8.36732863872,47.3659932618,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,4062,1903,19,Berikon,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.3217415138,47.3397137212,0 8.32051190994,47.34458995,0 8.30220405971,47.3607590801,0 8.30706717698,47.3642670122,0 8.31529527267,47.3605884979,0 8.32198084061,47.3693535756,0 8.32802163488,47.3663295744,0 8.32953569031,47.3689807039,0 8.33494747652,47.3734637954,0 8.34595580925,47.3604416807,0 8.34783575426,47.3650958064,0 8.35212012526,47.3477627092,0 8.33879788219,47.3403286732,0 8.3217415138,47.3397137212,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,4063,1903,19,Bremgarten AG,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.25687093243,47.3253303534,0 8.25642365117,47.3358587745,0 8.26652655263,47.3396460321,0 8.27586523266,47.3351257036,0 8.28745013407,47.3246777449,0 8.2840936454,47.3199255032,0 8.28003965977,47.325433685,0 8.26621392118,47.3211975722,0 8.25687093243,47.3253303534,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,4064,1903,19,Büttikon,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.26546261867,47.3743237856,0 8.26190727921,47.375635576,0 8.25144546714,47.370447085,0 8.25003833844,47.3684778928,0 8.2367865855,47.374867265,0 8.2326542486,47.3810578484,0 8.22815857746,47.3949780934,0 8.23405647036,47.3986978781,0 8.24408391584,47.3871678514,0 8.25291355779,47.3807369582,0 8.26209262736,47.3790616638,0 8.26546261867,47.3743237856,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,4065,1903,19,Dottikon,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.35306295074,47.3765063964,0 8.34557636721,47.3692696995,0 8.34823261821,47.3650746901,0 8.34783575426,47.3650958064,0 8.34595580925,47.3604416807,0 8.33494747652,47.3734637954,0 8.32953569031,47.3689807039,0 8.32528525691,47.3713793316,0 8.32903486519,47.3786371831,0 8.33201211318,47.382428464,0 8.34428583368,47.3782667641,0 8.3479697085,47.3799380601,0 8.35306295074,47.3765063964,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,4066,1903,19,Eggenwil,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.30220405971,47.3607590801,0 8.29395050718,47.3629075394,0 8.29933995131,47.3662319763,0 8.30285027734,47.3793937371,0 8.30705582057,47.3798299921,0 8.31703750427,47.3763361054,0 8.32903486519,47.3786371831,0 8.32528525691,47.3713793316,0 8.32953569031,47.3689807039,0 8.32802163488,47.3663295744,0 8.32198084061,47.3693535756,0 8.31529527267,47.3605884979,0 8.30706717698,47.3642670122,0 8.30220405971,47.3607590801,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,4067,1903,19,Fischbach-Göslikon,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.26546261867,47.3743237856,0 8.26209262736,47.3790616638,0 8.25291355779,47.3807369582,0 8.24408391584,47.3871678514,0 8.23405647036,47.3986978781,0 8.23463336565,47.4036145688,0 8.25106199349,47.4078542242,0 8.26417323801,47.4030925591,0 8.27136850759,47.3997305124,0 8.28102860565,47.388082926,0 8.28176024221,47.3765539285,0 8.27843478649,47.374787972,0 8.26546261867,47.3743237856,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,4068,1903,19,HA$?gglingen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.3217415138,47.3397137212,0 8.33879788219,47.3403286732,0 8.35062966448,47.334910165,0 8.3648070647,47.3305961294,0 8.35128014615,47.3234260462,0 8.34156949968,47.321892124,0 8.32933303242,47.3338619731,0 8.3209769579,47.33669691,0 8.3217415138,47.3397137212,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,4069,1903,19,Hermetschwil-Staffeln,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.4302260871,47.3020295039,0 8.41577310976,47.2949288512,0 8.38973904698,47.2913860303,0 8.37652935701,47.3026584561,0 8.38236841108,47.3067760673,0 8.39511984089,47.3075796781,0 8.39652951607,47.3050580479,0 8.41822475211,47.3125136639,0 8.42962683689,47.3025204502,0 8.4302260871,47.3020295039,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,4071,1903,19,Jonen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.28102860565,47.388082926,0 8.29588499769,47.4008826814,0 8.30807035871,47.3949353942,0 8.30889872491,47.3856274564,0 8.30705582057,47.3798299921,0 8.30285027734,47.3793937371,0 8.29933995131,47.3662319763,0 8.29395050718,47.3629075394,0 8.28721965311,47.3684266788,0 8.28220086451,47.3658996093,0 8.27843478649,47.374787972,0 8.28176024221,47.3765539285,0 8.28102860565,47.388082926,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,4072,1903,19,Niederwil AG,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.38236841108,47.3067760673,0 8.38112716252,47.3106365686,0 8.38775476805,47.3210897455,0 8.40508854384,47.3197673953,0 8.41119674223,47.3239082943,0 8.41822475211,47.3125136639,0 8.39652951607,47.3050580479,0 8.39511984089,47.3075796781,0 8.38236841108,47.3067760673,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,4073,1903,19,Oberlunkhofen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.40790598086,47.353245327,0 8.40496343515,47.3479263155,0 8.4174840823,47.3384828815,0 8.4137012575,47.3299145868,0 8.40973679207,47.3301999003,0 8.38863203066,47.3294939047,0 8.3786486831,47.3328861999,0 8.37416145654,47.3380953973,0 8.3764361253,47.3425210007,0 8.40790598086,47.353245327,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,4074,1903,19,Oberwil-Lieli,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.36732863872,47.3659932618,0 8.37028178483,47.3720777542,0 8.36778772748,47.3794205535,0 8.39039405481,47.3800551794,0 8.40145126373,47.3718761549,0 8.40928678374,47.3680142561,0 8.40620724126,47.3654132492,0 8.39680500995,47.3601929613,0 8.37515802589,47.3616929312,0 8.36732863872,47.3659932618,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,4075,1903,19,Rudolfstetten-Friedlisberg,
